inchi_key,canonical_smiles,name,vivo_dilirank,vivo_livertox,vivo_dailymed,vivo_pubmed,vivo_ctd,vivo_faers,vivo_chembl,vivo_marketed_clean_neg,has_dilirank,has_livertox,has_dm_boxed
MMOXZBCLCQITDF-UHFFFAOYSA-N,CCN(CC)C(=O)c1cccc(C)c1,diethyltoluamide,unknown,,,,medium,,,1.0,False,False,False
PIJVFDBKTWXHHD-UHFFFAOYSA-N,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,Physostigmine salicylate,vNo-DILI-Concern,,,,medium,,,,True,False,False
WXTMDXOMEHJXQO-UHFFFAOYSA-N,O=C(O)c1cc(O)ccc1O,gentisic acid,unknown,,,,medium,,,1.0,False,False,False
BFPYWIDHMRZLRN-SLHNCBLASA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,ETHINYL ESTRADIOL,unknown,,,,,,1.0,1.0,False,False,False
WATWJIUSRGPENY-UHFFFAOYSA-N,[Sb],Antimony,unknown,,,,medium,,,1.0,False,False,False
YVPYQUNUQOZFHG-UHFFFAOYSA-N,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,DIATRIZOATE SODIUM,vNo-DILI-Concern,,,,weak,,,1.0,True,False,False
OYIKARCXOQLFHF-UHFFFAOYSA-N,CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1,Isoxaflutole,unknown,,,,strong,,,1.0,False,False,False
NOEGNKMFWQHSLB-UHFFFAOYSA-N,O=Cc1ccc(CO)o1,5-(Hydroxymethyl)furfural,unknown,,,,strong,,,1.0,False,False,False
LKCWBDHBTVXHDL-UHFFFAOYSA-N,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,Amikacin sulfate,vNo-DILI-Concern,E,,,medium,,,,True,True,False
PTFCDOFLOPIGGS-UHFFFAOYSA-N,[Zn+2],zinc oxide,unknown,,,,strong,,,1.0,False,False,False
FIPWRIJSWJWJAI-UHFFFAOYSA-N,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,PIPERONYL BUTOXIDE,unknown,,,,strong,,,1.0,False,False,False
GPKJTRJOBQGKQK-UHFFFAOYSA-N,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,Mepacrine,,E,,,strong,,1.0,,False,True,False
JNLNPCNGMHKCKO-UHFFFAOYSA-N,O=C1C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,"2H-Indol-2-one, 3-(1,3-dihydro-3-oxo-2H-indol-2-ylidene)-1,3-dihydro-",unknown,,,,medium,,,1.0,False,False,False
GCUCIFQCGJIRNT-UHFFFAOYSA-N,O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O,Alrestatin,unknown,,,,,,1.0,1.0,False,False,False
KZBUYRJDOAKODT-UHFFFAOYSA-N,ClCl,Chlorine,unknown,,,,medium,,,1.0,False,False,False
BASFCYQUMIYNBI-UHFFFAOYSA-N,[Pt],Platinum,unknown,,,,medium,,,1.0,False,False,False
LQBVNQSMGBZMKD-UHFFFAOYSA-N,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,Venetoclax,vLess-DILI-Concern,E,,,,,,,True,True,False
ZJVFLBOZORBYFE-UHFFFAOYSA-N,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,IBUDILAST,unknown,,,,medium,,,1.0,False,False,False
JGCMEBMXRHSZKX-UHFFFAOYSA-N,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,Macitentan,vMost-DILI-Concern,E,,,,,,,True,True,False
TVYLLZQTGLZFBW-UHFFFAOYSA-N,COc1cccc(C2(O)CCCCC2CN(C)C)c1,Tramadol hydrochloride,vLess-DILI-Concern,E,boxed_hepatotox,,strong,,,,True,True,True
ONDYALNGTUAJDX-UHFFFAOYSA-N,COc1cccc2c1c(O)c(C(=O)N(C)c1ccc(C(F)(F)F)cc1)c(=O)n2C,Tasquinimod,unknown,,,,weak,,,1.0,False,False,False
OEBRKCOSUFCWJD-UHFFFAOYSA-N,COP(=O)(OC)OC=C(Cl)Cl,Dichlorvos,unknown,,,,strong,,,1.0,False,False,False
MLDQJTXFUGDVEO-UHFFFAOYSA-N,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,SORAFENIB,vMost-DILI-Concern,B,warning_hepatotox,weak,,weak,1.0,1.0,True,True,False
CPELXLSAUQHCOX-UHFFFAOYSA-N,Br,Hexatantalum Dodecabromide,unknown,,,,,weak,,1.0,False,False,False
LNZMRLHZGOBKAN-KAWPREARSA-N,O=C(O)C1=C(C[n+]2ccc(CCS(=O)(=O)[O-])cc2)CS[C@@H]2[C@H](NC(=O)[C@H](NC(=O)c3nc[nH]c3C(=O)O)c3ccccc3)C(=O)N12,cefpimizole,unknown,,,,,,1.0,1.0,False,False,False
DYZJXZOQQRXDLE-UHFFFAOYSA-O,CCOCC(O)COc1ccc(NC(=O)CC[S+](C)C)cc1,suplatast,unknown,,,,weak,,,1.0,False,False,False
DYEFUKCXAQOFHX-UHFFFAOYSA-N,O=c1c2ccccc2[se]n1-c1ccccc1,Ebselen,unknown,,,,medium,,,1.0,False,False,False
CJXAEXPPLWQRFR-UHFFFAOYSA-N,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,clemizole,unknown,,,,medium,,,1.0,False,False,False
RWZVPVOZTJJMNU-UHFFFAOYSA-N,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1,DEMECARIUM BROMIDE,unknown,,,,,,1.0,1.0,False,False,False
WQZGKKKJIJFFOK-UHFFFAOYSA-N,OCC1OC(O)C(O)C(O)C1O,Dextrose,vNo-DILI-Concern,,,medium,strong,,,,True,False,False
XXRVYAFBUDSLJX-UHFFFAOYSA-N,CC(C)(Oc1ccc(Cl)cc1)C(=O)OCCOC(=O)c1cccnc1,etofibrate,unknown,,,,,,1.0,1.0,False,False,False
HQMNCQVAMBCHCO-UHFFFAOYSA-N,CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C,"9-(4-Methoxy-2,3,6-trimethylphenyl)-3,7-dimethylnona-2,4,6,8-tetraenoic acid ethyl ester",unknown,,,medium,strong,,,1.0,False,False,False
UIAGMCDKSXEBJQ-UHFFFAOYSA-N,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,NIMODIPINE,Ambiguous-DILI-Concern,E,,,medium,,,0.0,False,True,False
ZOCUOMKMBMEYQV-GSLJADNHSA-N,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,isoflupredone acetate,unknown,,,,,,1.0,1.0,False,False,False
ICUTUKXCWQYESQ-UHFFFAOYSA-N,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,triclocarban,unknown,,,,medium,,,1.0,False,False,False
NZLBHDRPUJLHCE-UHFFFAOYSA-N,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,aprindine,unknown,,,,strong,,1.0,1.0,False,False,False
RPVGLMKJGQMQSN-UHFFFAOYSA-N,Cc1ccc(O)c2ncccc12,tiliquinol,unknown,,,,,,1.0,1.0,False,False,False
WLJNZVDCPSBLRP-UHFFFAOYSA-N,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,OLANZAPINE PAMOATE,vNo-DILI-Concern,,boxed_hepatotox,,,weak,,1.0,True,False,True
QIQXTHQIDYTFRH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)O,stearic acid,unknown,,,,medium,,,1.0,False,False,False
JWAZRIHNYRIHIV-UHFFFAOYSA-N,Oc1ccc2ccccc2c1,betanaphthol,unknown,,,,medium,,,1.0,False,False,False
BQJCRHHNABKAKU-UHFFFAOYSA-N,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,Morphine sulfate,vNo-DILI-Concern,E,,,strong,weak,,,True,True,False
DQMZLTXERSFNPB-UHFFFAOYSA-N,CCC1(c2ccccc2)C(=O)NCNC1=O,PRIMIDONE,vNo-DILI-Concern,E,,,medium,,,1.0,True,True,False
FASDKYOPVNHBLU-ZETCQYMHSA-N,CCCN[C@H]1CCc2nc(N)sc2C1,PRAMIPEXOLE,unknown,,,,,,1.0,1.0,False,False,False
MBWXNTAXLNYFJB-UHFFFAOYSA-N,CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)CCCC(C)CCCC(C)CCCC(C)C,Phytonadione,vNo-DILI-Concern,,,weak,medium,,,,True,False,False
CUCUKLJLRRAKFN-UHFFFAOYSA-N,CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C,Copper usnate,unknown,,,,strong,,,1.0,False,False,False
DBVJJBKOTRCVKF-UHFFFAOYSA-N,CC(O)(P(=O)(O)O)P(=O)(O)O,ETIDRONIC ACID,vNo-DILI-Concern,,,,weak,,,1.0,True,False,False
HIUVKVDQFXDZHU-UHFFFAOYSA-N,N=C(N)NCC1COc2ccccc2O1,guanoxan,unknown,,,,,,1.0,1.0,False,False,False
IJGRMHOSHXDMSA-UHFFFAOYSA-N,N#N,NITROGEN,unknown,,,,medium,,,1.0,False,False,False
LQCLVBQBTUVCEQ-QTFUVMRISA-N,CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,TROLEANDOMYCIN,unknown,,,,,,1.0,1.0,False,False,False
KWIUHFFTVRNATP-UHFFFAOYSA-N,C[N+](C)(C)CC(=O)[O-],betaine,vNo-DILI-Concern,E,,,medium,,,1.0,True,True,False
