name,input,inchi_key,found,label,verdict,match,confidence,n_sources,conflict,db_name
,O1C([C@H](OC)[C@@H](OC(=O)N)[C@@H](O)[C@@H]1Oc1c(c2oc(O)c(NC(=O)c3cc(CC=C(C)C)c(O)cc3)c(=O)c2cc1)C)(C)C,DYYIUCVAQGRACE-KGSXXDOSSA-N,False,,not_in_db,,,,,
,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,True,,vivo 라벨없음,exact,med,3,True,Hexachlorocyclohexane
,C(C(C(=O)O)N)OC(=C[N+]#N)[O-],AGNGYMCLFWQVGX-UHFFFAOYSA-N,False,,not_in_db,,,,,
,C1CCCN(CCC1)CCN=C(N)N,ACGDKVXYNVEAGU-UHFFFAOYSA-N,True,0,간독성 없음,exact,high,2,True,GUANETHIDINE
,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,CXQXSVUQTKDNFP-UHFFFAOYSA-N,True,,vivo 라벨없음,exact,no_signal,0,False,
,c1ccc2c(c1)c(=O)c(c(o2)O)Cc3c(=O)c4ccccc4oc3O,KSKRYQVHJQRUNC-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CCC(c1ccccc1)c2c(=O)c3ccccc3oc2O,QNDUUBVQYBBRBW-UHFFFAOYSA-N,False,,not_in_db,,,,,
,c1cc(ccc1C(=O)NCCC(=O)O)NN=C2C=CC(=O)C(=C2)C(=O)O,KONZVQJABTUMFX-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CC(=O)CC(c1ccccc1)c2c(=O)c3ccccc3oc2O,QTXVAVXCBMYBJW-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CCCCC(C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)N)NC(=O)C(Cc2c[nH]c3c2cccc3)NC(=O)CNC(=O)C(C(C)O)NC(=O)C(Cc4ccc(cc4)OS(=O)(=O)O)N,GZCDGEPFXQGWOW-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CC(C)CC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCC(C(=O)NC(C(=O)NC(C(=O)N1)Cc2ccccc2)CCN)NC(=O)C(CCN)NC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)O)C(C)O)CCN)CCN,WGRSQPZAOZIPGC-UHFFFAOYSA-N,False,,not_in_db,,,,,
,Cl[C@H]1[C@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H]1Cl,JLYXXMFPNIAWKQ-DCLYFUHFSA-N,True,,vivo 라벨없음,skeleton,no_signal,0,False,
,NC(N)=NCCN1CCCCCCC1,ACGDKVXYNVEAGU-UHFFFAOYSA-N,True,0,간독성 없음,exact,high,2,True,GUANETHIDINE
,N1(CCCCCCC1)CCN=C(N)N,ACGDKVXYNVEAGU-UHFFFAOYSA-N,True,0,간독성 없음,exact,high,2,True,GUANETHIDINE
,o1c(O)c(Cc2c(=O)c3c(oc2O)cccc3)c(=O)c2c1cccc2,KSKRYQVHJQRUNC-UHFFFAOYSA-N,False,,not_in_db,,,,,
,o1c(O)c([C@H](CC)c2ccccc2)c(=O)c2c1cccc2,QNDUUBVQYBBRBW-CYBMUJFWSA-N,False,,not_in_db,,,,,
,S(=O)(=O)(Oc1ccc(C[C@H](N)C(=O)N[C@@H]([C@H](O)C)C(=O)NCC(=O)N[C@@H](Cc2c3c([nH]c2)cccc3)C(=O)N[C@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N)cc1)O,GZCDGEPFXQGWOW-RMNOTBJOSA-N,False,,not_in_db,,,,,
,CN1C2=C(NC(Br)=N2)C(=O)N(C)C1=O,SKTFQHRVFFOHTQ-UHFFFAOYSA-N,True,0,간독성 없음,exact,low,3,False,Pamabrom
,CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC=C(O)C=C1,LBXLJKWLYGGOTD-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CN1C2CCC1CC(=C3C4=CC=CC=C4CSC5=CC=CC=C53)C2,JOQKFRLFXDPXHX-UHFFFAOYSA-N,True,0,간독성 없음,exact,med,2,False,tropatepine
,C[N+]12CCCCC1CCC(=C(C3=CC=CS3)C4=CC=CS4)C2,ZGSDGGRVFIYKKE-UHFFFAOYSA-N,True,0,간독성 없음,skeleton,med,2,False,tiquizium
,CCOCC(COC1=CC=C(C=C1)NC(=O)CC[S+](C)C)O,DYZJXZOQQRXDLE-UHFFFAOYSA-O,True,1,간독성 있음 ⚠,exact,med,3,True,suplatast
,CC(C)C(C(=O)OCCOCN1C=NC2=C1N=C(NC2=O)N)N,HDOVUKNUBWVHOX-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,high,5,False,Valaciclovir
,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)C,AZFBLLCNOQPJGJ-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,med,3,False,Rifabutin
,CC1(C(=C)N(C2=CC=CC=C21)CCCCCC(=O)O)C.Br,LVVRHAVPVOVPGG-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CC(C)OC(=O)NC1=CC2=C(C=C1)N=C(N2)C3=CSC=N3,QZWHWHNCPFEXLL-UHFFFAOYSA-N,True,0,간독성 없음,exact,med,2,True,Cambendazole
,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O,FNKQXYHWGSIFBK-UHFFFAOYSA-N,True,0,간독성 없음,exact,high,1,False,Sapropterin dihydrochloride
,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CCO)C)OC4CC(C(C(O4)C)O)(C)O,CJKGNDLRMLFWEX-UHFFFAOYSA-N,True,0,간독성 없음,exact,low,2,False,Epoetin alfa
,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,VVIAGPKUTFNRDU-UHFFFAOYSA-N,True,0,간독성 없음,exact,low,3,False,Leucovorin calcium
,CCO[C@H](COC1=CC=C(C=C1)C(F)(F)F)CSC2=CC(=C(C=C2)OCC(=O)O)C,JWHYSEDOYMYMNM-QGZVFWFLSA-N,True,0,간독성 없음,exact,med,2,False,SELADELPAR
,C1CCC(C1)C2=C(C=C(C=C2)COC3=CC4=C(C=C3)NC5=C4CC[C@@H]5CC(=O)O)C(F)(F)F,MVGWUTBTXDYMND-QGZVFWFLSA-N,True,0,간독성 없음,exact,med,2,False,ETRASIMOD
,CCOC(=O)C[N+]1(CC[C@H](C1)OC(=O)[C@@](C2CCCC2)(C3=CC=CC=C3)O)C,SEVCTUCCZYBJER-BSJAROSPSA-N,True,0,간독성 없음,exact,med,2,False,SOFPIRONIUM BROMIDE
,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)SC)O)O)O)Cl,QKDRXGFQVGOQKS-CRSSMBPESA-N,True,0,간독성 없음,exact,med,2,False,SOTAGLIFLOZIN
,C[C@@]12CC[C@]3(CCC(C[C@H]3[C@H]1C(=O)C=C4[C@]2(CC[C@@H]5[C@@]4(C=C(C(=O)C5(C)C)C#N)C)C)(C)C)NC(=O)C(C)(F)F,RJCWBNBKOKFWNY-IDPLTSGASA-N,True,0,간독성 없음,exact,med,2,False,OMAVELOXOLONE
,[2H]C1(C(C(C(C1([2H])[2H])([2H])[2H])([2H])[2H])[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3)[2H],HFNKQEVNSGCOJV-FBXGHSCESA-N,True,0,간독성 없음,exact,med,2,False,DEURUXOLITINIB PHOSPHATE
,C[C@]1(CCCN1C(=O)CN)C(=O)N[C@@H](CCC(=O)O)C(=O)O,BUSXWGRAOZQTEY-SDBXPKJASA-N,True,0,간독성 없음,exact,med,2,False,TROFINETIDE
,CC1(OC[C@H](O1)COC(=O)CCC2=CC=C(C=C2)OC[C@H](CNCCNC(=O)N3CCOCC3)O)C,WMDSZGFJQKSLLH-RBBKRZOGSA-N,True,0,간독성 없음,exact,med,2,False,LANDIOLOL
,C[C@]1(CC[C@H]2[C@@H](C1)CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4C(=O)CN5C=C(C=N5)C#N)C)O,HARRKNSQXBRBGZ-GVKWWOCJSA-N,True,0,간독성 없음,exact,med,2,False,ZURANOLONE
,CC1(C)C[C@H]2CN1C1=NC(=CC=C1C(=O)NS(=O)(=O)C1=CC=CC(NCCC2)=N1)N1C=CC(OCCC2C3(CC3)C22CC2)=N1,VCSUIBJKYCVWNF-NRFANRHFSA-N,True,0,간독성 없음,exact,med,2,False,VANZACAFTOR
,CC1(CCC(C2=C1C=C(C(=C2)/C=C/C3=CC=C(C=C3)C(=O)O)CN4C=CC=N4)(C)C)C,YTFHCXIPDIHOIA-DHZHZOJOSA-N,True,0,간독성 없음,exact,med,2,False,PALOVAROTENE
,C1CCN(CC1)C[C@H](CO/N=C(\C2=C[N+](=CC=C2)[O-])/Cl)O,SGEIEGAXKLMUIZ-ZPTIMJQQSA-N,True,0,간독성 없음,skeleton,med,2,False,Arimoclomol
,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C3=CC[C@@]2([C@]1(C(=O)CO)O)C)C,ZYTXTXAMMDTYDQ-DGEXFFLYSA-N,True,0,간독성 없음,exact,med,2,False,VAMOROLONE
,CN(C)CC1=CN(N=C1C2=CC=CC=C2)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N5CCOCC5)OC,RRMJMHOQSALEJJ-UHFFFAOYSA-N,True,0,간독성 없음,exact,high,3,False,LAZERTINIB
