name,input,inchi_key,found,label,verdict,match,confidence,n_sources,conflict,db_name
,O=C(C1=CN(C2=C(O[Na])C1=O)C[C@]3([H])OCC[C@@H](C)N3C2=O)NCC4=CC=C(F)C=C4F,RHWKPHLQXYSBKR-BMIGLBTASA-N,True,1,간독성 있음 ⚠,skeleton,high,3,False,Dolutegravir sodium
,O=C(C(N=C(C(NC(C1=NN=C(C)O1)=O)(C)C)N2C)=C(O[K])C2=O)NCC3=CC=C(F)C=C3,CZFFBEXEKNGXKS-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,low,3,False,Raltegravir potassium
,O=C(C1=CC(S(=O)(N)=O)=C(C=C1NCC2=CC=CO2)Cl)O[Na],ZZUFCTLCJUWOSV-UHFFFAOYSA-N,True,,vivo 라벨없음,exact,ambiguous,0,False,Furosemide
,CCCCC=CC=CC=CCCCCCCCC(=O)O,CUXYLFPMQMFGPL-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,med,1,False,eleostearic acid
,O=C1N(CC2=CC=C(C3=C(C4=NN=NN4)C=CC=C3)C=C2)C(CCCC)=NC15CCCC5,YOSHYTLCDANDAN-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,high,5,True,Irbesartan
,O=C(O[Na])C(C)C1=CC=C(CC(C)C)C=C1,HEFNNWSXXWATRW-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,high,6,False,Ibuprofen
,O=C(O[Na])C1=C(I)C(NC(C)=O)=C(I)C(NC(C)=O)=C1I,YVPYQUNUQOZFHG-UHFFFAOYSA-N,True,0,간독성 없음,exact,low,3,False,DIATRIZOATE SODIUM
,O=C(O)C1=C(N=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NN=NN4)CCC)C(O)(C)C,VTRAEEWXHOVJFV-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,med,4,False,Olmesartan
,O[C@H]1[C@@H](O)[C@H](N2C3=NC(SCCC(F)(F)F)=NC(NCCSC)=C3N=C2)O[C@@H]1COP(OP(C(Cl)(P(O[Na])(O[Na])=O)Cl)(O[Na])=O)(O[Na])=O,PAEBIVWUMLRPSK-IDTAVKCVSA-N,True,0,간독성 없음,exact,high,2,False,CANGRELOR
,O=C(C1=CN(CC)C2=NC(C)=CC=C2C1=O)O[Na],MHWLWQUZZRMNGJ-UHFFFAOYSA-N,True,,vivo 라벨없음,exact,ambiguous,0,False,Nalidixic acid
,O=C(O)CC[C@@H](C(O)=O)NC(C1=CC=C(NCC2N(C=O)C3=C(N=C(N)NC3=O)NC2)C=C1)=O,VVIAGPKUTFNRDU-ABLWVSNPSA-N,True,0,간독성 없음,exact,high,2,False,LEUCOVORIN
,O=C(O[Na])CNC(C1=CC=C(N)C=C1)=O,HSMNQINEKMPTIC-UHFFFAOYSA-N,True,0,간독성 없음,exact,high,2,False,AMINOHIPPURIC ACID
