inchi_key,canonical_smiles,name,manual_label,source,reason
MNCZMYLRBLYUPR-UHFFFAOYSA-N,CCP(=O)(OC)c1ccc2oc(-c3ccc(F)cc3)nc2c1,CHEMBL4638592,,non_drug,ChEMBL ID only
SGUAFYQXFOLMHL-ACJLOTCBSA-N,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,CHEMBL27193,,non_drug,ChEMBL ID only
UKHMZCMKHPHFOT-UHFFFAOYSA-N,Nc1ncnc2c1ncn2C1CCCO1,9-(tetrahydro-2-furyl)-adenine,,non_drug,IUPAC chemistry name
IFXSWTIWFGIXQO-AOOOYVTPSA-N,C[C@@H]1C[C@H](C)CN(S(=O)(=O)c2ccc(Cl)c(C(=O)O)c2)C1,CHEMBL2104748,,non_drug,ChEMBL ID only
SQMWSBKSHWARHU-UHFFFAOYSA-N,OCC1OC(n2cnc3c(NC4CCCC4)ncnc32)C(O)C1O,N(6)-cyclopentyladenosine,,non_drug,IUPAC chemistry name
KUGUNHHHNWFJTM-UHFFFAOYSA-N,Cn1c(=O)c2c(nc3n2CCCN3Cc2c(F)cccc2Cl)n(C)c1=O,CHEMBL4521517,,non_drug,ChEMBL ID only
XYTOFZZIIYJECI-CTTKUTITSA-N,Cc1cn([C@@H]2O[C@@]3(COP(O)(=S)O[C@H]4[C@H]5O[C@H](C)[C@]4(COP(O)(=S)O[C@H]4C[C@H](n6cc(C)c(=O)[nH]c6=O)O[C@@H]4COP(O)(=S)O[C@H]4[C@@H](O)[C@H](n6cnc7c6N=CNC7N)O[C@@H]4COP(O)(=S)O[C@H]4[C@@H](O)[C@H](n6cnc7c(=O)[nH]c(N)nc76)O[C@@H]4COP(O)(=S)O[C@H]4[C@@H](O)[C@H](n6ccc(N)nc6=O)O[C@@H]4COP(O)(=S)O[C@H]4[C@@H](O)[C@H](n6cnc7c(N)ncnc76)O[C@@H]4COP(O)(=S)O[C@H]4[C@@H](O)[C@H](n6ccc(N)nc6=O)O[C@@H]4COP(O)(=S)O[C@H]4[C@@H](O)[C@H](n6cc(C)c(=O)[nH]c6=O)O[C@@H]4COP(O)(=S)O[C@H]4[C@@H](O)[C@H](n6cnc7c(=O)[nH]c(N)nc76)O[C@@H]4COP(O)(=S)O[C@H]4[C@@H](O)[C@H](n6cnc7c(=O)[nH]c(N)nc76)O[C@@H]4COP(O)(=S)O[C@H]4[C@@H](O)[C@H](n6ccc(N)nc6=O)O[C@@H]4COP(O)(=S)O[C@H]4[C@H]6O[C@H](C)[C@]4(COP(O)(=S)O[C@H]4[C@H]7O[C@H](C)[C@]4(CO)O[C@H]7n4ccc(=O)[nH]c4=O)O[C@H]6n4cc(C)c(N)nc4=O)O[C@H]5n4ccc(=O)[nH]c4=O)[C@@H](C)O[C@@H]2[C@@H]3O)c(=O)nc1N,CHEMBL501528,,non_drug,ChEMBL ID only
QBYUNVOYXHFVKC-GBURMNQMSA-N,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL408701,,non_drug,ChEMBL ID only
GOZUADYOHPCXLE-UHFFFAOYSA-N,CC(C)/N=C/Nc1ccc(-c2c[nH]cn2)cc1,CHEMBL308005,,non_drug,ChEMBL ID only
JSFATNQSLKRBCI-UHFFFAOYSA-N,CCCCCC(O)C=CC=CCC=CCC=CCCCC(=O)O,"15-hydroxy-5,8,11,13-eicosatetraenoic acid",,non_drug,IUPAC chemistry name
