inchi_key,canonical_smiles,name
XCUCMLUTCAKSOZ-UHFFFAOYSA-N,COc1cc2c(cc1OC)C(Cc1ccc(O)c(Oc3cc4c(cc3OC)CCN(C)C4Cc3ccc(O)cc3)c1)N(C)CC2,liensinine
XVPBINOPNYFXID-UHFFFAOYSA-N,O=C1CCCC2C3CCC[N+]4([O-])CCCC(CN12)C34,oxymatrine
SWZMSZQQJRKFBP-UHFFFAOYSA-N,O=C1C=C2C=CC3CC2(O1)C1CCCCN31,securinine
ORJVQPIHKOARKV-UHFFFAOYSA-N,COc1cc2c3c(c1OC)-c1ccccc1CC3N(C)CC2,nuciferine
RFWGABANNQMHMZ-UHFFFAOYSA-N,CC=C1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OCCc1ccc(O)c(O)c1,oleuropein
PTMZTTPJFDLIOR-UHFFFAOYSA-N,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC1(C)CCc2cc(O)c(C)c(C)c2O1,plastochromanol 8
WBEFUVAYFSOUEA-UHFFFAOYSA-N,O=C1C(=Cc2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,aureusidin
XOJVHLIYNSOZOO-UHFFFAOYSA-N,COc1ccc(CC2COC(=O)C2Cc2ccc(OC3OC(CO)C(O)C(O)C3O)c(OC)c2)cc1OC,arctiin
LVWAKZBZWYHYCJ-UHFFFAOYSA-N,COc1ccc2c(c1OC)C(OC)N(C)c1c-2ccc2cc3c(cc12)OCO3,angoline
SDIVYZXRQHWCKF-UHFFFAOYSA-N,O=c1c2ccccc2nc2n1CCC2O,vasicinone
XDEURYRPQDIBSL-UHFFFAOYSA-N,O=C1C=C2CCNC2=CC1=O,aminochrome 1
AADCDMQTJNYOSS-UHFFFAOYSA-N,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O,eticlopride
